mol,n_points,r_values,d_psi_dR,psi_values,d_log_lambda_dR,log_lambda_values,d_wcnmax_dR,wcnmax_values,d_w17max_dR,w17max_values,d_w78max_dR,w78max_values
mol_011_E,6,"[1.5567, 1.6067, 1.6567, 1.7067, 1.7567, 1.8067]",2.1544324257600387,"[0.6799493561069351, 0.7789877784120578, 0.8851394623530525, 0.9947643328033814, 1.1044677329521855, 1.2167877583088063]",-0.9366693458957646,"[-0.2723394665165715, -0.32446399732428916, -0.3682184621430588, -0.40858677664159443, -0.45695865703073896, -0.5126032788565121]",0.021742857142857192,"[0.399424, 0.400689, 0.40195600000000004, 0.403225, 0.404496, 0.404496]",0.1900531428571429,"[0.208849, 0.228484, 0.242064, 0.251001, 0.256036, 0.257049]",-0.12869142857142857,"[0.11155600000000002, 0.108241, 0.10368400000000001, 0.097969, 0.089401, 0.07896100000000002]"
mol_012_E,6,"[1.5489, 1.5989, 1.6489, 1.6989, 1.7489, 1.7989]",2.088601201050241,"[0.6688143898959802, 0.7657774387913182, 0.8659657775318149, 0.968812145400654, 1.0813718169891176, 1.1898989097711172]",-0.5291499892238638,"[-0.0363045246889119, -0.013180662087500485, 0.002684975751018477, -0.02409183926013665, -0.10871532464518528, -0.1588308603804224]",0.014371428571428658,"[0.393129, 0.394384, 0.393129, 0.391876, 0.39690000000000003, 0.39690000000000003]",0.09084114285714265,"[0.11696400000000001, 0.11022400000000002, 0.104329, 0.108241, 0.12744899999999998, 0.13764099999999999]",-0.04925885714285718,"[0.10758400000000001, 0.10692900000000001, 0.104976, 0.1024, 0.09922500000000001, 0.095481]"
mol_013_E,6,"[1.5664, 1.6164, 1.6664, 1.7164, 1.7664, 1.8164]",2.219442671056937,"[0.7244299202325784, 0.8230667874792407, 0.9343065073452884, 1.0466977287059553, 1.1593517110498508, 1.276985656688007]",0.4268770499412696,"[-0.4292507801084132, -0.36336404011059265, -0.448427743537718, -0.44719987883223955, -0.3167972191245345, -0.30802947816169945]",0.023721142857143003,"[0.418609, 0.419904, 0.41473600000000005, 0.42250000000000004, 0.42250000000000004, 0.42380100000000004]",0.11615485714285718,"[0.22752899999999998, 0.18489999999999998, 0.241081, 0.247009, 0.23136099999999998, 0.239121]",0.14948628571428585,"[0.08468099999999999, 0.08008899999999998, 0.085849, 0.088209, 0.11155600000000002, 0.11764900000000002]"
mol_014_Z,7,"[1.5034, 1.5534, 1.6034, 1.6534, 1.7034, 1.7534, 1.8034]",0.39765722400378556,"[0.1846565401733684, 0.18389895943970333, 0.2039062340698255, 0.22558137786190874, 0.2484615193491139, 0.27307690207100754, 0.2959261878611693]",-0.3075461013360208,"[-0.006160231238420481, -0.03928202101415462, -0.06303410289212966, -0.08106709287417456, -0.07792571887571283, -0.05682986962916496, -0.13301930745736223]",-0.0640235714285716,"[0.42120100000000005, 0.42120100000000005, 0.419904, 0.395641, 0.36, 0.41216400000000003, 0.417316]",0.0695378571428572,"[0.08008899999999998, 0.08643599999999999, 0.09, 0.091809, 0.091809, 0.09, 0.109561]",0.002837857142857084,"[0.07896100000000002, 0.07896100000000002, 0.07784100000000002, 0.07617600000000001, 0.07672900000000002, 0.07896100000000002, 0.08065599999999999]"
mol_015_E,6,"[1.5581, 1.6081, 1.6581, 1.7081, 1.7581, 1.8081]",2.2176530524195814,"[0.678414054221897, 0.7755879990090274, 0.8824662246328692, 0.9961114066032787, 1.112344799977479, 1.2298095055935978]",-0.7836337398778473,"[-0.07719010081949851, -0.3271205093418288, -0.3362811318824164, -0.33733448195294874, -0.33544997530641896, -0.34625356018388453]",0.0210559999999999,"[0.43033600000000005, 0.43164900000000006, 0.43164900000000006, 0.43428100000000003, 0.43428100000000003, 0.43560000000000004]",0.3169691428571429,"[0.08643599999999999, 0.182329, 0.187489, 0.189225, 0.190969, 0.191844]",0.044596571428571354,"[0.07236100000000001, 0.085849, 0.08643599999999999, 0.08702499999999999, 0.088209, 0.08643599999999999]"
mol_016_E,6,"[1.5573, 1.6073, 1.6573, 1.7073, 1.7573, 1.8073]",2.211484139446684,"[0.6832180588800716, 0.7817258387229796, 0.8901027705589476, 1.0032509100617093, 1.11488243375441, 1.2347139227670005]",0.8290601604040603,"[-0.29140284047862547, -0.25351326322098605, -0.21253667303321286, -0.16398444676290647, -0.12708422348089946, -0.08679965343531752]",0.0984691428571428,"[0.44622400000000007, 0.44756100000000004, 0.30470400000000003, 0.4489000000000001, 0.45024100000000006, 0.45024100000000006]",-0.18650742857142852,"[0.165649, 0.159201, 0.149769, 0.138384, 0.1296, 0.12040899999999999]",0.05507485714285717,"[0.08468099999999999, 0.088804, 0.091809, 0.094864, 0.096721, 0.098596]"
mol_017_E,6,"[1.5534, 1.6034, 1.6534, 1.7034, 1.7534, 1.8034]",2.1903219524809474,"[0.6830985478169944, 0.7778496905537766, 0.8795810942682529, 0.9913906628218104, 1.1120688917726198, 1.226817796743309]",2.0661027695919905,"[-0.44155018302458565, -0.3793281324899102, -0.30914062176146934, -0.2378636030751261, -0.045806164767939334, 0.0672172019621602]",0.01638514285714284,"[0.42250000000000004, 0.42380100000000004, 0.42510400000000004, 0.42640900000000004, 0.42640900000000004, 0.42640900000000004]",-0.3925588571428571,"[0.16321600000000003, 0.1521, 0.139876, 0.128881, 0.08526399999999999, 0.068121]",0.08453428571428569,"[0.059049, 0.063504, 0.06864400000000001, 0.07452900000000001, 0.07672900000000002, 0.07952399999999998]"
mol_018_E,6,"[1.548, 1.598, 1.648, 1.698, 1.748, 1.798]",1.9770940624729236,"[0.6524999592187526, 0.7411391935987852, 0.8367477057139754, 0.9346700559721827, 1.0392156183519206, 1.146052556180753]",-0.19964018231546232,"[-0.15352354384842384, -0.13124947078463614, -0.22568122997006346, -0.2120079636927414, -0.19774649233874525, -0.18623404798183466]",0.003809142857142774,"[0.379456, 0.379456, 0.34574399999999994, 0.378225, 0.376996, 0.37576899999999996]",0.17064285714285718,"[0.128164, 0.10758400000000001, 0.12531599999999998, 0.139876, 0.150544, 0.159201]",0.07292057142857153,"[0.09, 0.07952399999999998, 0.07452900000000001, 0.085849, 0.095481, 0.10368400000000001]"
mol_019_E,6,"[1.5505, 1.6005, 1.6505, 1.7005, 1.7505, 1.8005]",1.9726584447907718,"[0.6253443181628475, 0.7156371332422297, 0.81053807115818, 0.9069506218077005, 1.010089629479281, 1.1198207659674826]",-0.3917759334013457,"[-0.34912947818841744, -0.3768249925332958, -0.4170096392593875, -0.4496672063316371, -0.4574304171385467, -0.43135628670128795]",0.04664799999999993,"[0.44222500000000003, 0.43033600000000005, 0.31584400000000007, 0.386884, 0.43164900000000006, 0.44355600000000006]",-0.07631314285714286,"[0.181476, 0.18404099999999998, 0.191844, 0.191844, 0.18062499999999998, 0.156816]",-0.09365085714285717,"[0.08122499999999999, 0.07728400000000002, 0.073441, 0.068121, 0.063001, 0.058080999999999994]"
mol_020_E,13,"[1.5029, 1.5429, 1.5729, 1.5829, 1.6229, 1.6429, 1.6629, 1.7029, 1.7129, 1.7429, 1.7829, 1.8529, 1.9229]",2.036842223451173,"[0.5840707620017248, 0.6027472196292737, 0.6548672204166359, 0.6718317281775469, 0.7436039630921042, 0.7836779886149812, 0.8210290368551991, 0.8976509565072174, 0.9193276795894858, 0.9781878647545936, 1.0620457762970499, 1.223780077185638, 1.4379844165014166]",-0.12677584725992677,"[-0.29058329478976075, -0.33669923889893466, -0.38933004082091993, -0.4144813499909546, -0.48505000278922206, -0.4678744984481905, -0.353258170216394, -0.4541232983902572, -0.4443382878739528, -0.4317428083035478, -0.3969349602098262, -0.33967077099167803, -0.4321354121865132]",0.059503556556471326,"[0.45024100000000006, 0.4489000000000001, 0.44622400000000007, 0.44355600000000006, 0.41216400000000003, 0.346921, 0.257049, 0.4096, 0.419904, 0.43692100000000006, 0.44756100000000004, 0.45427600000000007, 0.45968400000000004]",0.04399415738930915,"[0.172225, 0.173889, 0.174724, 0.175561, 0.17892899999999998, 0.18062499999999998, 0.16321600000000003, 0.19980900000000001, 0.204304, 0.208849, 0.209764, 0.20070400000000002, 0.15840400000000002]",-0.003267366363559111,"[0.088209, 0.08008899999999998, 0.071289, 0.06760000000000001, 0.058564, 0.061503999999999996, 0.07236100000000001, 0.07022500000000001, 0.073441, 0.07728400000000002, 0.0841, 0.091809, 0.058564]"
mol_021_E,7,"[1.5033, 1.5533, 1.6033, 1.6533, 1.7033, 1.7533, 1.8033]",1.749018205192639,"[0.5677419021852257, 0.6024162217234365, 0.6877076031169653, 0.7818791509016135, 0.8763289940498605, 0.9726409283840911, 1.0742601298570558]",0.0715413288287355,"[-0.07396713250634, -0.007908300128079266, 0.034482868813384866, 0.04841687126164279, 0.05857875220397518, 0.020507268731106004, -0.06755685275591707]",-0.011592857142857177,"[0.46922500000000006, 0.4664890000000001, 0.45427600000000007, 0.237169, 0.44622400000000007, 0.4624000000000001, 0.46922500000000006]",-0.10964500000000012,"[0.11764900000000002, 0.109561, 0.10304100000000001, 0.098596, 0.09060099999999999, 0.085849, 0.08643599999999999]",-0.08483071428571431,"[0.09922500000000001, 0.10758400000000001, 0.11155600000000002, 0.11022400000000002, 0.10368400000000001, 0.09, 0.07398400000000001]"
mol_022_E,6,"[1.5497, 1.5997, 1.6497, 1.6997, 1.7497, 1.7997]",1.891491622928635,"[0.6155542958877941, 0.7021157738242887, 0.791527269145637, 0.8876403995707642, 0.9848484295820185, 1.0887141443731532]",-1.2261711709176886,"[-0.06523303288118454, -0.10483368995228178, -0.14641472511774417, -0.23552030396235318, -0.30307301020418964, -0.3576282347823091]",0.05713542857142869,"[0.45158400000000004, 0.44089600000000007, 0.31360000000000005, 0.4096, 0.44222500000000003, 0.45158400000000004]",0.06924285714285724,"[0.149769, 0.149769, 0.130321, 0.16000000000000003, 0.16321600000000003, 0.16000000000000003]",-0.23002971428571417,"[0.128881, 0.11764900000000002, 0.093025, 0.093025, 0.08122499999999999, 0.07022500000000001]"
mol_023_E,6,"[1.544, 1.594, 1.644, 1.694, 1.744, 1.794]",2.00517980331243,"[0.6243794470833178, 0.7115812521391284, 0.8047005705259893, 0.9066891002423214, 1.0162829300234177, 1.122973665568828]",-1.241443957025955,"[0.03740099733248671, 0.064119161076718, -0.0225620208193781, -0.21366262184766788, -0.22261566741739766, -0.18684337032447015]",0.10999371428571428,"[0.391876, 0.374544, 0.39690000000000003, 0.400689, 0.405769, 0.410881]",0.2685600000000001,"[0.0625, 0.061503999999999996, 0.07452900000000001, 0.10304100000000001, 0.11902499999999998, 0.11628100000000002]",0.017008571428571474,"[0.068121, 0.071289, 0.07075600000000001, 0.063001, 0.071289, 0.07562500000000001]"
mol_024_E,6,"[1.5537, 1.6037, 1.6537, 1.7037, 1.7537, 1.8037]",2.0224639754791873,"[0.6340658992271483, 0.7240043847342706, 0.8178789107229921, 0.9227755499286204, 1.0290664600857202, 1.1379117175928688]",0.005978661309501576,"[-0.10871532464518546, -0.12635408214758895, -0.14461703600544257, -0.1701656120783003, -0.19048570728118686, -0.06303410289212966]",0.12448057142857168,"[0.43428100000000003, 0.41216400000000003, 0.265225, 0.39690000000000003, 0.43428100000000003, 0.438244]",-0.04094000000000003,"[0.104329, 0.10562500000000001, 0.10627600000000001, 0.10627600000000001, 0.10562500000000001, 0.09]",-0.030738285714285635,"[0.08122499999999999, 0.07896100000000002, 0.07617600000000001, 0.07182400000000001, 0.068121, 0.07784100000000002]"
mol_025_E,6,"[1.5512, 1.6012, 1.6512, 1.7012, 1.7512, 1.8012]",2.0596689127808996,"[0.6189158949714658, 0.7069921916208549, 0.8017767461534285, 0.9023306935443565, 1.01333327703704, 1.1358845737168843]",-0.014969452204591616,"[0.005170187668986797, 0.06281692850324815, 0.1213956807072233, 0.2108331938116496, 0.2506934328480541, -0.13068252583038953]",0.047625142857142706,"[0.43956900000000004, 0.42640900000000004, 0.3091360000000001, 0.381924, 0.42771600000000004, 0.44089600000000007]",-0.1002302857142858,"[0.11222500000000002, 0.1024, 0.09, 0.07452900000000001, 0.07075600000000001, 0.09922500000000001]",-0.10028228571428556,"[0.11356900000000002, 0.11833599999999998, 0.11902499999999998, 0.12110399999999999, 0.126025, 0.073441]"
